airport_group,date,hour,pred
G,2025-10-09,3,0.955
G,2025-10-09,4,0.006
G,2025-10-09,5,0.41
G,2025-10-09,6,0.994
G,2025-10-09,7,0.176
G,2025-10-09,8,0.004
G,2025-10-09,9,0.157
G,2025-10-09,10,0.197
G,2025-10-09,11,0.026
G,2025-10-09,12,0.929
G,2025-10-09,13,0.061
G,2025-10-09,14,0.001
G,2025-10-09,15,0.001
G,2025-10-09,16,0.002
G,2025-10-09,17,0.85
G,2025-10-09,18,0.757
G,2025-10-09,19,0.152
G,2025-10-09,20,0.066
G,2025-10-09,21,0.807
G,2025-10-09,22,0.068
G,2025-10-09,23,0.002
G,2025-10-10,0,0.001
G,2025-10-10,1,0.0
G,2025-10-10,2,0.15
G,2025-10-10,3,0.953
G,2025-10-10,4,0.006
G,2025-10-10,5,0.411
G,2025-10-10,6,0.995
G,2025-10-10,7,0.178
G,2025-10-10,8,0.004
G,2025-10-10,9,0.148
G,2025-10-10,10,0.174
G,2025-10-10,11,0.024
G,2025-10-10,12,0.928
G,2025-10-10,13,0.058
G,2025-10-10,14,0.001
G,2025-10-10,15,0.001
G,2025-10-10,16,0.002
G,2025-10-10,17,0.862
G,2025-10-10,18,0.762
G,2025-10-10,19,0.154
G,2025-10-10,20,0.073
G,2025-10-10,21,0.657
G,2025-10-10,22,0.073
G,2025-10-10,23,0.002
G,2025-10-11,0,0.002
G,2025-10-11,1,0.0
G,2025-10-11,2,0.0
G,2025-10-11,3,0.0
G,2025-10-11,4,0.0
G,2025-10-11,5,0.0
G,2025-10-11,6,0.0
G,2025-10-11,7,0.0
G,2025-10-11,8,0.0
G,2025-10-11,9,0.048
G,2025-10-11,10,0.014
G,2025-10-11,11,0.006
G,2025-10-11,12,0.001
G,2025-10-11,13,0.001
G,2025-10-11,14,0.0
G,2025-10-11,15,0.011
G,2025-10-11,16,0.004
G,2025-10-11,17,0.0
G,2025-10-11,18,0.0
G,2025-10-11,19,0.0
G,2025-10-11,20,0.0
G,2025-10-11,21,0.0
G,2025-10-11,22,0.0
G,2025-10-11,23,0.0
G,2025-10-12,0,0.0
G,2025-10-12,1,0.0
G,2025-10-12,2,0.0
G,2025-10-12,3,0.0
G,2025-10-12,4,0.0
G,2025-10-12,5,0.0
G,2025-10-12,6,0.0
G,2025-10-12,7,0.0
G,2025-10-12,8,0.0
G,2025-10-12,9,0.002
G,2025-10-12,10,0.06
G,2025-10-12,11,0.073
G,2025-10-12,12,0.941
G,2025-10-12,13,0.026
G,2025-10-12,14,0.001
G,2025-10-12,15,0.001
G,2025-10-12,16,0.002
G,2025-10-12,17,0.849
G,2025-10-12,18,0.781
G,2025-10-12,19,0.147
G,2025-10-12,20,0.073
G,2025-10-12,21,0.646
G,2025-10-12,22,0.068
G,2025-10-12,23,0.002
G,2025-10-13,0,0.001
G,2025-10-13,1,0.0
G,2025-10-13,2,0.17
G,2025-10-13,3,0.949
G,2025-10-13,4,0.005
G,2025-10-13,5,0.417
G,2025-10-13,6,0.995
G,2025-10-13,7,0.182
G,2025-10-13,8,0.004
G,2025-10-13,9,0.138
G,2025-10-13,10,0.229
G,2025-10-13,11,0.02
G,2025-10-13,12,0.936
G,2025-10-13,13,0.066
G,2025-10-13,14,0.002
G,2025-10-13,15,0.001
G,2025-10-13,16,0.002
G,2025-10-13,17,0.853
G,2025-10-13,18,0.76
G,2025-10-13,19,0.149
G,2025-10-13,20,0.074
G,2025-10-13,21,0.81
G,2025-10-13,22,0.071
G,2025-10-13,23,0.002
G,2025-10-14,0,0.001
G,2025-10-14,1,0.0
G,2025-10-14,2,0.154
G,2025-10-14,3,0.958
G,2025-10-14,4,0.005
G,2025-10-14,5,0.422
G,2025-10-14,6,0.996
G,2025-10-14,7,0.18
G,2025-10-14,8,0.004
G,2025-10-14,9,0.174
G,2025-10-14,10,0.199
G,2025-10-14,11,0.02
G,2025-10-14,12,0.951
G,2025-10-14,13,0.039
G,2025-10-14,14,0.001
G,2025-10-14,15,0.001
G,2025-10-14,16,0.002
G,2025-10-14,17,0.854
G,2025-10-14,18,0.76
G,2025-10-14,19,0.149
G,2025-10-14,20,0.074
G,2025-10-14,21,0.811
G,2025-10-14,22,0.071
G,2025-10-14,23,0.003
G,2025-10-15,0,0.001
G,2025-10-15,1,0.0
G,2025-10-15,2,0.154
G,2025-10-15,3,0.958
G,2025-10-15,4,0.005
G,2025-10-15,5,0.422
G,2025-10-15,6,0.995
G,2025-10-15,7,0.179
G,2025-10-15,8,0.004
G,2025-10-15,9,0.159
G,2025-10-15,10,0.175
G,2025-10-15,11,0.028
G,2025-10-15,12,0.937
G,2025-10-15,13,0.064
G,2025-10-15,14,0.001
G,2025-10-15,15,0.001
G,2025-10-15,16,0.002
G,2025-10-15,17,0.867
G,2025-10-15,18,0.78
G,2025-10-15,19,0.149
G,2025-10-15,20,0.074
G,2025-10-15,21,0.811
G,2025-10-15,22,0.066
G,2025-10-15,23,0.002
G,2025-10-16,0,0.001
G,2025-10-16,1,0.0
G,2025-10-16,2,0.168
G,2025-10-16,3,0.955
G,2025-10-16,4,0.006
G,2025-10-16,5,0.41
G,2025-10-16,6,0.994
G,2025-10-16,7,0.176
G,2025-10-16,8,0.004
G,2025-10-16,9,0.157
G,2025-10-16,10,0.197
G,2025-10-16,11,0.026
G,2025-10-16,12,0.929
G,2025-10-16,13,0.061
G,2025-10-16,14,0.001
G,2025-10-16,15,0.001
G,2025-10-16,16,0.002
G,2025-10-16,17,0.85
G,2025-10-16,18,0.757
G,2025-10-16,19,0.152
G,2025-10-16,20,0.066
G,2025-10-16,21,0.807
G,2025-10-16,22,0.068
G,2025-10-16,23,0.002
G,2025-10-17,0,0.001
G,2025-10-17,1,0.0
G,2025-10-17,2,0.15
G,2025-10-17,3,0.953
G,2025-10-17,4,0.006
G,2025-10-17,5,0.411
G,2025-10-17,6,0.995
G,2025-10-17,7,0.178
G,2025-10-17,8,0.004
G,2025-10-17,9,0.148
G,2025-10-17,10,0.174
G,2025-10-17,11,0.024
G,2025-10-17,12,0.928
G,2025-10-17,13,0.058
G,2025-10-17,14,0.001
G,2025-10-17,15,0.001
G,2025-10-17,16,0.002
G,2025-10-17,17,0.862
G,2025-10-17,18,0.762
G,2025-10-17,19,0.154
G,2025-10-17,20,0.073
G,2025-10-17,21,0.657
G,2025-10-17,22,0.073
G,2025-10-17,23,0.002
G,2025-10-18,0,0.002
G,2025-10-18,1,0.0
G,2025-10-18,2,0.0
G,2025-10-18,3,0.0
G,2025-10-18,4,0.0
G,2025-10-18,5,0.0
G,2025-10-18,6,0.0
G,2025-10-18,7,0.0
G,2025-10-18,8,0.0
G,2025-10-18,9,0.048
G,2025-10-18,10,0.014
G,2025-10-18,11,0.006
G,2025-10-18,12,0.001
G,2025-10-18,13,0.001
G,2025-10-18,14,0.0
G,2025-10-18,15,0.011
G,2025-10-18,16,0.004
G,2025-10-18,17,0.0
G,2025-10-18,18,0.0
G,2025-10-18,19,0.0
G,2025-10-18,20,0.0
G,2025-10-18,21,0.0
G,2025-10-18,22,0.0
G,2025-10-18,23,0.0
G,2025-10-19,0,0.0
G,2025-10-19,1,0.0
G,2025-10-19,2,0.0
G,2025-10-19,3,0.0
G,2025-10-19,4,0.0
G,2025-10-19,5,0.0
G,2025-10-19,6,0.0
G,2025-10-19,7,0.0
G,2025-10-19,8,0.0
G,2025-10-19,9,0.002
G,2025-10-19,10,0.06
G,2025-10-19,11,0.073
G,2025-10-19,12,0.941
G,2025-10-19,13,0.026
G,2025-10-19,14,0.001
G,2025-10-19,15,0.001
G,2025-10-19,16,0.002
G,2025-10-19,17,0.849
G,2025-10-19,18,0.781
G,2025-10-19,19,0.147
G,2025-10-19,20,0.073
G,2025-10-19,21,0.646
G,2025-10-19,22,0.068
G,2025-10-19,23,0.002
G,2025-10-20,0,0.001
G,2025-10-20,1,0.0
G,2025-10-20,2,0.17
G,2025-10-20,3,0.949
G,2025-10-20,4,0.005
G,2025-10-20,5,0.417
G,2025-10-20,6,0.995
G,2025-10-20,7,0.182
G,2025-10-20,8,0.004
G,2025-10-20,9,0.138
G,2025-10-20,10,0.229
G,2025-10-20,11,0.02
G,2025-10-20,12,0.936
G,2025-10-20,13,0.066
G,2025-10-20,14,0.002
G,2025-10-20,15,0.001
G,2025-10-20,16,0.002
G,2025-10-20,17,0.853
G,2025-10-20,18,0.76
G,2025-10-20,19,0.149
G,2025-10-20,20,0.074
G,2025-10-20,21,0.81
G,2025-10-20,22,0.071
G,2025-10-20,23,0.002
G,2025-10-21,0,0.001
G,2025-10-21,1,0.0
G,2025-10-21,2,0.154
G,2025-10-21,3,0.958
G,2025-10-21,4,0.005
G,2025-10-21,5,0.422
G,2025-10-21,6,0.996
G,2025-10-21,7,0.18
G,2025-10-21,8,0.004
G,2025-10-21,9,0.174
G,2025-10-21,10,0.199
G,2025-10-21,11,0.02
G,2025-10-21,12,0.951
G,2025-10-21,13,0.039
G,2025-10-21,14,0.001
G,2025-10-21,15,0.001
G,2025-10-21,16,0.002
G,2025-10-21,17,0.854
G,2025-10-21,18,0.76
G,2025-10-21,19,0.149
G,2025-10-21,20,0.074
G,2025-10-21,21,0.811
G,2025-10-21,22,0.071
G,2025-10-21,23,0.003
G,2025-10-22,0,0.001
G,2025-10-22,1,0.0
G,2025-10-22,2,0.154
G,2025-10-22,3,0.958
G,2025-10-22,4,0.005
G,2025-10-22,5,0.422
G,2025-10-22,6,0.995
G,2025-10-22,7,0.179
G,2025-10-22,8,0.004
G,2025-10-22,9,0.159
G,2025-10-22,10,0.175
G,2025-10-22,11,0.028
G,2025-10-22,12,0.937
G,2025-10-22,13,0.064
G,2025-10-22,14,0.001
G,2025-10-22,15,0.001
G,2025-10-22,16,0.002
G,2025-10-22,17,0.867
G,2025-10-22,18,0.78
G,2025-10-22,19,0.149
G,2025-10-22,20,0.074
G,2025-10-22,21,0.811
G,2025-10-22,22,0.066
G,2025-10-22,23,0.002
G,2025-10-23,0,0.001
G,2025-10-23,1,0.0
G,2025-10-23,2,0.168
G,2025-10-23,3,0.955
G,2025-10-23,4,0.006
G,2025-10-23,5,0.41
G,2025-10-23,6,0.994
G,2025-10-23,7,0.176
G,2025-10-23,8,0.004
G,2025-10-23,9,0.157
G,2025-10-23,10,0.197
G,2025-10-23,11,0.026
G,2025-10-23,12,0.929
G,2025-10-23,13,0.061
G,2025-10-23,14,0.001
G,2025-10-23,15,0.001
G,2025-10-23,16,0.002
G,2025-10-23,17,0.85
G,2025-10-23,18,0.757
G,2025-10-23,19,0.152
G,2025-10-23,20,0.066
G,2025-10-23,21,0.807
G,2025-10-23,22,0.068
G,2025-10-23,23,0.002
G,2025-10-24,0,0.001
G,2025-10-24,1,0.0
G,2025-10-24,2,0.15
G,2025-10-24,3,0.953
G,2025-10-24,4,0.006
G,2025-10-24,5,0.411
G,2025-10-24,6,0.995
G,2025-10-24,7,0.178
G,2025-10-24,8,0.004
G,2025-10-24,9,0.148
G,2025-10-24,10,0.174
G,2025-10-24,11,0.024
G,2025-10-24,12,0.928
G,2025-10-24,13,0.058
G,2025-10-24,14,0.001
G,2025-10-24,15,0.001
G,2025-10-24,16,0.002
G,2025-10-24,17,0.862
G,2025-10-24,18,0.762
G,2025-10-24,19,0.154
G,2025-10-24,20,0.073
G,2025-10-24,21,0.657
G,2025-10-24,22,0.073
G,2025-10-24,23,0.002
G,2025-10-25,0,0.002
G,2025-10-25,1,0.0
G,2025-10-25,2,0.0
G,2025-10-25,3,0.0
G,2025-10-25,4,0.0
G,2025-10-25,5,0.0
G,2025-10-25,6,0.0
G,2025-10-25,7,0.0
G,2025-10-25,8,0.0
G,2025-10-25,9,0.048
G,2025-10-25,10,0.014
G,2025-10-25,11,0.006
G,2025-10-25,12,0.001
G,2025-10-25,13,0.001
G,2025-10-25,14,0.0
G,2025-10-25,15,0.011
G,2025-10-25,16,0.004
G,2025-10-25,17,0.0
G,2025-10-25,18,0.0
G,2025-10-25,19,0.0
G,2025-10-25,20,0.0
G,2025-10-25,21,0.0
G,2025-10-25,22,0.0
G,2025-10-25,23,0.0
G,2025-10-26,0,0.0
G,2025-10-26,1,0.0
G,2025-10-26,2,0.0
G,2025-10-26,3,0.0
G,2025-10-26,4,0.0
G,2025-10-26,5,0.0
G,2025-10-26,6,0.0
G,2025-10-26,7,0.0
G,2025-10-26,8,0.0
G,2025-10-26,9,0.002
G,2025-10-26,10,0.001
G,2025-10-26,11,0.028
G,2025-10-26,12,0.002
G,2025-10-26,13,0.032
G,2025-10-26,14,0.004
G,2025-10-26,15,0.001
G,2025-10-26,16,0.002
G,2025-10-26,17,0.002
G,2025-10-26,18,0.023
G,2025-10-26,19,0.042
G,2025-10-26,20,0.124
G,2025-10-26,21,0.01
G,2025-10-26,22,0.044
G,2025-10-26,23,0.023
G,2025-10-27,0,0.003
G,2025-10-27,1,0.0
G,2025-10-27,2,0.005
G,2025-10-27,3,0.044
G,2025-10-27,4,0.039
G,2025-10-27,5,0.032
G,2025-10-27,6,0.119
G,2025-10-27,7,0.05
G,2025-10-27,8,0.005
G,2025-10-27,9,0.003
G,2025-10-27,10,0.113
G,2025-10-27,11,0.183
G,2025-10-27,12,0.032
G,2025-10-27,13,0.105
G,2025-10-27,14,0.004
G,2025-10-27,15,0.001
G,2025-10-27,16,0.002
G,2025-10-27,17,0.002
G,2025-10-27,18,0.002
G,2025-10-27,19,0.017
G,2025-10-27,20,0.126
G,2025-10-27,21,0.011
G,2025-10-27,22,0.001
G,2025-10-27,23,0.001
G,2025-10-28,0,0.001
G,2025-10-28,1,0.0
G,2025-10-28,2,0.005
G,2025-10-28,3,0.036
G,2025-10-28,4,0.026
G,2025-10-28,5,0.032
G,2025-10-28,6,0.123
G,2025-10-28,7,0.05
G,2025-10-28,8,0.006
G,2025-10-28,9,0.007
G,2025-10-28,10,0.113
G,2025-10-28,11,0.178
G,2025-10-28,12,0.031
G,2025-10-28,13,0.108
G,2025-10-28,14,0.004
G,2025-10-28,15,0.001
G,2025-10-28,16,0.002
G,2025-10-28,17,0.002
G,2025-10-28,18,0.003
G,2025-10-28,19,0.017
G,2025-10-28,20,0.126
G,2025-10-28,21,0.011
G,2025-10-28,22,0.001
G,2025-10-28,23,0.001
G,2025-10-29,0,0.001
G,2025-10-29,1,0.0
G,2025-10-29,2,0.005
G,2025-10-29,3,0.037
G,2025-10-29,4,0.026
G,2025-10-29,5,0.032
G,2025-10-29,6,0.121
G,2025-10-29,7,0.059
G,2025-10-29,8,0.006
G,2025-10-29,9,0.004
G,2025-10-29,10,0.092
G,2025-10-29,11,0.19
G,2025-10-29,12,0.035
G,2025-10-29,13,0.105
G,2025-10-29,14,0.003
G,2025-10-29,15,0.001
G,2025-10-29,16,0.002
G,2025-10-29,17,0.002
G,2025-10-29,18,0.026
G,2025-10-29,19,0.039
G,2025-10-29,20,0.126
G,2025-10-29,21,0.013
G,2025-10-29,22,0.001
G,2025-10-29,23,0.001
G,2025-10-30,0,0.001
G,2025-10-30,1,0.0
G,2025-10-30,2,0.005
G,2025-10-30,3,0.035
G,2025-10-30,4,0.026
G,2025-10-30,5,0.037
G,2025-10-30,6,0.118
G,2025-10-30,7,0.056
G,2025-10-30,8,0.006
G,2025-10-30,9,0.004
G,2025-10-30,10,0.104
G,2025-10-30,11,0.191
G,2025-10-30,12,0.033
G,2025-10-30,13,0.105
G,2025-10-30,14,0.004
G,2025-10-30,15,0.001
G,2025-10-30,16,0.002
G,2025-10-30,17,0.002
G,2025-10-30,18,0.025
G,2025-10-30,19,0.038
G,2025-10-30,20,0.12
G,2025-10-30,21,0.012
G,2025-10-30,22,0.001
G,2025-10-30,23,0.001
G,2025-10-31,0,0.001
G,2025-10-31,1,0.0
G,2025-10-31,2,0.005
G,2025-10-31,3,0.034
G,2025-10-31,4,0.028
G,2025-10-31,5,0.045
G,2025-10-31,6,0.118
G,2025-10-31,7,0.05
G,2025-10-31,8,0.006
G,2025-10-31,9,0.003
G,2025-10-31,10,0.084
G,2025-10-31,11,0.181
G,2025-10-31,12,0.032
G,2025-10-31,13,0.104
G,2025-10-31,14,0.003
G,2025-10-31,15,0.001
G,2025-10-31,16,0.002
G,2025-10-31,17,0.002
G,2025-10-31,18,0.002
G,2025-10-31,19,0.016
G,2025-10-31,20,0.127
G,2025-10-31,21,0.011
G,2025-10-31,22,0.001
G,2025-10-31,23,0.001
